Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Chollo,Probabilidad_Chollo
Apple M-M4 Max,48.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,4526.43,0,0.0
Intel Core i7-12650H,16.0,DDR4,1.0,Intel® UHD Graphics,17.3,1920x1080,Windows 11 Home,,1310.78,0,0.42
Apple M-M4 Max,48.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,4553.33,0,0.0
Apple M-M3,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1241.54,0,0.09
Apple M-M3,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1248.9,0,0.06
Apple M-M3,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1241.54,0,0.09
Apple M-M4 Pro,48.0,,512.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3250.58,0,0.01
Apple M-M3,24.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1679.54,0,0.09
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,54.0,1084.66,1,0.8
Intel Core i7-13650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,FreeDOS,99.0,1347.52,0,0.36
Apple M-M3,16.0,,256.0,Apple GPU,15.3,2880x1864,macOS Sequoia,66.0,1527.19,0,0.02
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,54.0,1015.83,1,0.82
Apple M-M3,24.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sequoia,66.0,1965.16,0,0.02
Apple M-M2,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sonoma,52.0,1017.61,0,0.1
Apple M-M3,16.0,,256.0,Apple GPU,15.3,2880x1864,macOS Sequoia,66.0,1527.19,0,0.02
Apple M-M4 Pro,48.0,,512.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3269.89,0,0.01
Apple M-M3,24.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1679.54,0,0.09
Apple M-M3,8.0,,256.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1412.94,0,0.04
Apple M-M4 Max,36.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,3669.51,0,0.0
Apple M-M4 Pro,24.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,2812.58,0,0.0
Apple M-M4 Max,36.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3955.16,0,0.0
Apple M-M3,16.0,,256.0,Apple GPU,15.3,2880x1864,macOS Sequoia,66.0,1527.19,0,0.02
Intel Core i7-13700H,16.0,DDR5,512.0,,16.0,1920x1200,FreeDOS,54.0,1145.35,1,0.96
Intel Core i5-13420H,8.0,DDR4,512.0,Intel® UHD Graphics,14.0,1920x1080,FreeDos,38.0,501.99,1,0.96
AMD Ryzen 7-5700U,8.0,DDR4,512.0,AMD Radeon,15.6,1920x1080,Windows 10 Home en modo S,38.0,698.99,0,0.13
Intel Core i7-13700H,16.0,DDR5,512.0,Intel Iris Xe Graphics,14.5,2560x1600,Windows 11 Home,73.0,1333.99,1,0.87
Intel Core i7-1355U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38.0,683.0,1,1.0
AMD Ryzen 5-7520U,16.0,DDR5,512.0,AMD Radeon 610M,15.6,1920x1080,No,38.0,469.0,0,0.17
Intel Core i3-1115G4,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,No,45.0,258.99,1,0.94
Intel Core i5-13420H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,38.0,596.99,1,0.98
Intel Core i3-1215U,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,38.0,393.99,1,0.82
Intel Core i5-,8.0,DDR4,256.0,Intel® UHD Graphics 620,13.3,1920x1080,Windows 10 Pro,51.0,329.89,1,0.95
Intel Core i7-1355U,16.0,DDR5,1.0,Intel Iris Xe Graphics,13.3,2880x1800,Windows 11 Home,80.0,2327.99,0,0.35
Intel Core i7-1355U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38.0,622.99,1,1.0
Intel Core i7-1255U,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,48.0,641.0,1,0.99
Intel Core i7-1360P,32.0,DDR5,1.0,Intel Iris Xe Graphics,17.0,2560x1600,Windows 11 Home,90.0,1817.0,0,0.27
AMD Ryzen 7-5700U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,No,42.0,645.99,0,0.17
Intel Core i5-12450H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47.0,689.0,1,0.77
AMD Ryzen 7-5700U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,48.0,562.99,0,0.14
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,576.0,0,0.15
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,60.0,1499.99,0,0.46
Intel Core i3-1315U,8.0,DDR4,512.0,Intel® UHD Graphics,14.0,1920x1080,Windows 11 Home,38.0,563.99,1,0.91
Intel Core i3-1215U,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,No,38.0,371.0,1,0.9
AMD Ryzen 7-7435HS,24.0,DDR5,1.0,No disponible,15.6,1920x1080,No,60.0,1100.99,0,0.07
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,16.0,2048x1280,Windows 11 Home,76.0,1314.99,1,0.72
AMD Ryzen 5-7530U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,537.99,0,0.14
Intel Core i5-1334U,16.0,DDR5,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,,528.0,1,0.99
AMD Ryzen 5-7520U,8.0,DDR5,256.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38.0,551.0,0,0.04
Intel Core i5-13420H,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,1920x1200,Windows 11 Home,47.0,767.99,1,0.72
Intel Core i5-1334U,8.0,DDR5,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,,475.0,1,0.99
Intel Core 5-i5-1135G7,8.0,DDR4,,No disponible,15.6,1920x1080,,45.0,329.99,1,0.58
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,593.99,0,0.14
Intel Core i5-1235U,16.0,DDR5,256.0,Intel Iris Xe Graphics,12.4,1536x1024,Windows 11 Pro,41.0,1302.99,1,0.53
AMD Ryzen 7-5700U,16.0,DDR4,1.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,731.99,0,0.03
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,16.0,2560x1600,No,77.0,1136.99,1,0.95
Intel Core i3-1215U,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,No,38.0,441.0,1,1.0
AMD Ryzen 7-5700U,16.0,DDR4,1.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,701.99,0,0.03
Intel Core i7-13620H,16.0,DDR5,1.0,,14.0,2880x1800,Windows 11 Home,63.0,1098.99,1,0.73
Intel Core i7-9850H,32.0,DDR4,1.0,Intel® UHD Graphics 630,15.6,1920x1080,Windows 10 Pro,,1429.18,0,0.45
Intel Core Ultra 5-125H,16.0,DDR5,512.0,Intel Arc Graphics,15.6,,Windows 11 Home,55.0,911.99,1,1.0
Intel Core i5-12450HX,24.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,No,60.0,901.99,1,0.89
AMD Ryzen 5-7520U,8.0,DDR5,512.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38.0,441.99,0,0.13
AMD Ryzen 3-7320U,8.0,DDR5,256.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38.0,372.99,0,0.03
Intel Core i7-1255U,16.0,DDR5,1.0,Intel Iris Xe Graphics,16.0,1920x1080,Windows 11 Home,51.0,754.99,1,0.81
Qualcomm Snapdragon-X1E-80-100,16.0,DDR5,256.0,Qualcomm Adreno GPU,15.0,2496x1664,Windows 11 Home,66.0,1530.0,0,0.0
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,16.0,2560x1600,FreeDOS,77.0,1356.0,1,0.95
AMD Ryzen 5-5500U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,635.0,0,0.15
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,15.6,1920x1080,Windows 11 Home,72.0,1527.99,1,0.72
Intel Core Ultra 7-155U,32.0,DDR5,1.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,58.0,2298.0,1,0.71
